ID,Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,AgeRange,Activity
1654,1/1/2007,Glen Canyon National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported
1812,1/22/2007,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
1813,1/22/2007,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Vessel Related
,1/29/2007,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving 
,1/29/2007,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54,Driving 
1390,2/7/2007,Gateway National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported
317,2/10/2007,Black Canyon Of The Gunnison National Park,Fall,Fall,Unintentional,Fatal injury,Female,15-24,Not Reported
259,2/11/2007,Big South Fork National River and Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
,2/24/2007,Mount Rainier National Park,Avalanche,Environmental,Unintentional,Fatal injury,Male,45-54,Skiing
298,3/3/2007,Biscayne National Park,Vessel Incident,Other Transportation,Unintentional,Fatal injury,Male,25-34,Diving - Scuba
1150,3/6/2007,Delaware Water Gap National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
1346,3/7/2007,Gateway National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related
,3/14/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,0-14,Driving 
923,3/14/2007,Colorado National Monument,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving 
,3/19/2007,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Hiking
,3/19/2007,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,45-54,Hiking
,3/23/2007,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Other
,3/23/2007,Mount Rainier National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,35-44,Other
1598,3/27/2007,Glen Canyon National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,35-44,Vessel Related
1558,3/29/2007,Glen Canyon National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,15-24,Driving 
1956,3/31/2007,Grand Canyon National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
,4/2/2007,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,Not Reported,Not Reported
,4/5/2007,Olympic National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Vessel Related
1599,4/6/2007,Glen Canyon National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,35-44,Driving 
,4/8/2007,North Cascades National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
,4/10/2007,Redwood National and State Parks,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Fishing
1046,4/14/2007,Death Valley National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
,4/15/2007,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
,4/19/2007,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing
1198,4/23/2007,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing
421,4/23/2007,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
422,4/23/2007,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
,4/30/2007,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
,4/30/2007,Grand Teton National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Climbing
,5/3/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
,5/3/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
273,5/14/2007,Big Thicket National Preserve,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
1708,5/15/2007,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
1183,5/16/2007,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
1184,5/16/2007,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
1734,5/16/2007,Golden Gate National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Not Reported
1185,5/17/2007,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Climbing
1199,5/17/2007,Denali National Park & Preserve,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Climbing
1957,5/17/2007,Grand Canyon National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Female,55-64,Not Reported
,5/19/2007,Yosemite National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Not Reported
645,5/21/2007,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
,5/27/2007,Gulf Islands National Seashore,Vessel Incident,Other Transportation,Unintentional,Fatal injury,Female,35-44,Vessel Related
,5/28/2007,Olympic National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Vessel Related
,5/29/2007,Haleakala National Park,Bicycle only crash,Other Transportation,Unintentional,Fatal injury,Male,0-14,Bicycling
23,6/1/2007,Acadia National Park,Drowning,Drowning,Unintentional,Fatal injury,Female,55-64,Not Reported
974,6/2/2007,Curecanti National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Not Reported
874,6/3/2007,Chickasaw National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
,6/3/2007,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Vessel Related
,6/4/2007,Great Smoky Mountains National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
,6/4/2007,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Canyoneering
,6/8/2007,Zion National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Not Reported
1756,6/9/2007,Golden Gate National Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Male,45-54,Not Reported
632,6/9/2007,Cape Cod National Seashore,Undetermined,Undetermined,Undetermined,Fatal injury,Male,55-64,Playing Sports
,6/10/2007,Lake Meredith National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
,6/10/2007,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal injury,Male,15-24,Climbing
,6/14/2007,Lake Mead National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Vessel Related
,6/16/2007,Point Reyes National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
,6/16/2007,Yosemite National Park,Fall,Fall,Unintentional,Fatal injury,Male,35-44,Climbing
,6/16/2007,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Hiking
,6/16/2007,Grand Teton National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,55-64,Driving 
1814,6/16/2007,Golden Gate National Recreation Area,Poisoning - Drugs,Poisoning,Unintentional,Fatal injury,Male,Not Reported,Not Reported
502,6/17/2007,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
,6/18/2007,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal injury,Male,45-54,Climbing
,6/22/2007,Whiskeytown National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Vessel Related
69,6/22/2007,Apostle Islands National Lakeshore,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
669,7/1/2007,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
660,7/4/2007,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,35-44,Swimming
1128,7/5/2007,Delaware Water Gap National Recreation Area,Fall,Fall,Unintentional,Fatal injury,Female,35-44,Not Reported
,7/5/2007,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,Not Reported,Driving 
532,7/6/2007,Buffalo National River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
1548,7/7/2007,Glen Canyon National Recreation Area,Poisoning - Carbon monoxide,Poisoning,Unintentional,Fatal injury,Female,0-14,Swimming
,7/7/2007,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
758,7/10/2007,Channel Islands National Park,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Not Reported
,7/11/2007,Yosemite National Park,Undetermined,Undetermined,Undetermined,Fatal injury,Male,45-54,Not Reported
,7/13/2007,National Capital Parks-East,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
891,7/19/2007,Colonial National Historical Park,Drowning,Drowning,Unintentional,Fatal injury,Female,0-14,Swimming
654,7/26/2007,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming
,7/28/2007,North Cascades National Park,Fall,Fall,Unintentional,Fatal injury,Female,55-64,Not Reported
1880,8/2/2007,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal injury,Male,25-34,Not Reported
117,8/4/2007,Badlands National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,Not Reported,Driving 
1103,8/5/2007,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
670,8/6/2007,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal injury,Male,45-54,Swimming
,8/7/2007,Wind Cave National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,Not Reported,Driving 
1420,8/11/2007,Gauley River National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related
,8/12/2007,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,55-64,Vessel Related
,8/14/2007,Yosemite National Park,Hypothermia,Environmental,Unintentional,Fatal injury,Female,65+,Not Reported
,8/16/2007,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Male,45-54,Driving 
,8/16/2007,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,55-64,Driving 
,8/16/2007,Haleakala National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Not Reported,65+,Driving 
,8/17/2007,Lake Roosevelt National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,65+,Vessel Related
,8/19/2007,Upper Delaware Scenic & Recreational River,Drowning,Drowning,Unintentional,Fatal injury,Male,15-24,Swimming
